Stocks,2023-04-05,2023-04-06,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28
ADANIPORTS,653074,643894,639027,628834,626959,623337,619662,616819,622579,622721,615523,619709,610755,610618,616819,621447
APOLLOHOSP,601790,72029,72602,72585,71984,71406,70598,69344,69528,70298,70596,70140,69933,69333,69059,69154
ASIANPAINT,69043,67572,351098,347160,346993,351180,354056,349869,347005,342935,341553,347012,342845,338294,337241,336438
AXISBANK,335051,336212,335934,1486236,1493317,1508304,1516492,1505918,1509899,1486666,1486322,1488388,1471261,1479136,1486924,1456420
BAJAJFINSV,1462970,1447642,1457907,1494186,467672,469006,460140,459752,453446,454012,447327,447377,449370,450670,450416,455269
BAJFINANCE,454631,445831,449539,441176,442918,207347,205682,199757,203300,202989,202323,200696,198777,200316,199235,200416
BHARTIARTL,199565,199705,195053,195675,191127,188691,1531786,1525967,1520986,1513478,1504876,1510828,1518805,1533600,1533399,1523572
BPCL,1508481,1522477,1532390,1507895,1506238,1481246,1457525,697075,701112,692771,684931,678265,681885,692249,685135,686977
BRITANNIA,672514,669188,664355,662442,661870,659025,646703,643176,60128,60080,60467,60941,60785,60871,60972,59927
CIPLA,60439,60551,61084,60076,60310,59056,59023,58878,57098,381401,379570,380589,377002,374800,370390,371280
COALINDIA,375089,367865,372847,376106,371564,376522,373770,373175,372011,374428,1158301,1146067,1150202,1148389,1140174,1119894
DIVISLAB,1130820,1110627,1098191,1106770,1110869,1108454,1101274,1107491,1109902,1100323,1093951,133927,133227,131783,132318,131518
DRREDDY,119859,120918,121733,117715,115179,120196,119134,120581,119326,119565,118884,117812,71942,71538,71285,70383
EICHERMOT,70328,68633,69030,69039,68194,68237,68955,68806,69703,69310,69142,68109,67953,81549,83510,82722
GRASIM,82479,80217,78316,76251,75874,75071,74477,75455,76545,76976,76135,75422,75071,74217,261064,256139
HCLTECH,254635,248501,248378,247459,249838,246569,249274,251464,251859,255723,251583,251948,250125,249794,247049,696626
HDFCBANK,688444,700645,693500,703771,698949,713719,734024,719086,736497,737349,729300,725771,726185,717939,714119,718917
HDFCLIFE,2514668,2448979,2430461,2442039,2434918,2403703,2392980,2430024,2440347,2431410,2422393,2418488,2399075,2433674,2422538,2409280
HEROMOTOCO,2399857,714711,709010,699504,700798,701002,696257,676882,674915,676310,685975,678925,701344,657474,679565,677200
HINDALCO,695182,679565,88437,88397,88606,87375,87049,86788,87860,87187,88125,87900,87807,87421,85963,86077
HINDUNILVR,85823,85703,84030,1167556,1165385,1159777,1142301,1125613,1125344,1113612,1096337,1089097,1085325,1093404,1112821,1098644
ICICIBANK,1093531,1106403,1090993,1077734,526398,516890,520417,527219,523991,527887,526378,523149,525373,527334,535585,534438
INDUSINDBK,534053,536047,531703,540715,543279,3903598,3900067,3942857,3972594,3912008,3875751,3837597,3827804,3846797,3868146,3857334
INFY,3895443,3813208,3776889,3770697,3756737,3759603,393974,398238,392791,397456,395643,395440,383124,377996,370564,379328
ITC,377375,380704,385662,378872,373527,371260,368667,2714675,2690456,2693578,2682824,2723749,2681509,2756982,3043789,3041251
JSWSTEEL,3108261,3130619,3120544,3123216,3126785,3120035,3073219,3057273,3998416,3920807,3911191,3899112,3825757,3849574,3829625,3786080
KOTAKBANK,3801756,3799373,3784661,3710961,3706875,3681205,3674954,3641826,3560098,688947,684582,688442,682643,658632,654368,652188
LT,651691,653367,650654,656608,661366,652460,648275,649664,641988,648007,1005327,1001769,998804,997555,950446,951709
MARUTI,938753,926048,929407,931083,931528,926781,925023,928915,934206,919522,905549,631292,606798,602396,593150,595263
NESTLEIND,598645,606530,618789,618063,617228,613593,618454,614652,609444,601893,594205,579428,80559,81093,80430,80256
NTPC,79103,79456,79000,78965,78441,78917,78603,80037,80910,80884,80522,80183,79748,22075,21945,22071
ONGC,22273,22109,22376,22347,21487,21053,21097,21247,21222,21025,21049,20688,20570,19989,2784026,2814099
POWERGRID,2825342,2787162,2779337,2815699,2860444,2918631,2910052,2962297,2916912,2916912,2895583,2893044,2914336,2895583,2877906,2538236
RELIANCE,2550686,2589641,2481705,2452059,2473834,2456692,2435217,2435977,2435977,2450518,2443608,2433697,2427637,2420105,2436738,2453601
SBILIFE,2315227,2304453,2308546,2270246,2247676,2287725,2249134,2197337,2257924,2261361,2252057,2245735,2241862,2232717,2182123,2203856
SBIN,2191780,2757940,2764580,2746161,2765769,2752156,2740076,2729781,2716002,2747452,2733843,2740776,2737335,2726887,2706171,2722153
SHREECEM,2705033,2656475,294437,293971,291153,293785,292095,288414,287547,283756,283706,289300,287903,293705,293931,293891
SUNPHARMA,290619,285827,285062,2411010,2428298,2406898,2413072,2386769,2404392,2382962,2334558,2326646,2350546,2331130,2338212,2289938
TATACONSUM,2260591,2242429,2248782,2196092,8758,8667,8790,8845,8778,8806,8911,9008,9103,9289,9482,9628
TATAMOTORS,9635,9552,9598,9685,9451,684336,671914,661989,664287,663859,658994,667663,670872,666799,673028,678309
TATASTEEL,677143,684266,688946,689832,684581,678377,460218,453670,451745,457919,460058,459354,458588,462703,466727,470856
TCS,469149,471159,450481,449315,441944,437665,432022,1237477,1230805,1199588,1138088,1144538,1127819,1118210,1111934,1109936
TECHM,1118449,1101090,1114176,1104797,1108647,1097866,1090116,1082585,6580211,6533142,6564446,6526917,6369130,6366171,6372093,6392907
TITAN,6366171,6336725,6342592,6453132,6431924,6398878,6410856,6363214,6345530,767187,757762,762256,752282,763893,757330,769869
ULTRACEMCO,781971,784157,794601,790711,776689,773277,772984,767631,770087,762599,475888,475758,480439,474147,478033,473015
UPL,483047,509733,512095,517802,513799,525657,521816,526579,526949,523351,512845,269961,266257,268790,265123,265498
WIPRO,264693,264923,262895,265740,266609,265581,266713,260500,260139,259371,257185,259287,66749,66303,66217,66266
